Site,EQUIPMENT_MAME,VENDOR_NAME,NETWORK_NAME,CLLI_CODE,ROW,RACK,Supervisor,Tel.,Source A,Source B
,,,,,,,,,,
'CN-PBI','OSN9800 U32','Huawei','ID3138','ID3138','14','20','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','Huawei','ID360','ID360','15','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','Huawei','ID365','ID365','15','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','Huawei','ID697','ID697','15','30','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','Huawei','ID1357','ID1357','15','38','Suthas','0865159836',"'Rectifier F ,PDC11 F4,CB3'","'Rectifier F ,PDC12 Q2 ,CB3'"
'CN-PBI','OSN3500 ','Huawei','ID571LO#03','ID571_3','15','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','Huawei','ID571LO#02','ID571_2','15','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','Huawei','ID197','ID197','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','BWS1600G','Huawei','ID363','ID363','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','Huawei','ID364','ID364','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','Huawei','ID560','ID560','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','Huawei','ID656','ID656','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','BWS1600G','Huawei','ID657','ID657','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','OSN3500','Huawei','ID570','ID570','16','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','Huawei','ID570','ID570','16','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','Huawei','ID1510','ID1510','16','38','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID2165_0','ID2165_0','17','17A ','Suthas','0865159836',"'Rectifier A ,PDC2 Q1 ,CB5'","'Rectifier B ,PDC2 Q3 ,CB5'"
'CN-PBI','OSN8800','Huawei','ID2165_0','ID2165_0','17','17B','Suthas','0865159836',"'Rectifier A ,PDC3/1 Q1 ,CB1'","'Rectifier B ,PDC3/1 Q3 ,CB1'"
'CN-PBI','OSN6800','Huawei','ID2165_1','ID2165_1','17','17A ','Suthas','0865159836',"'Rectifier A ,PDC2 Q1 ,CB5'","'Rectifier B ,PDC2 Q3 ,CB5'"
'CN-PBI','OSN8800','Huawei','ID2303_0','ID2303_0','17','17B','Suthas','0865159836',"'Rectifier A ,PDC3/1 Q1 ,CB1'","'Rectifier B ,PDC3/1 Q3 ,CB1'"
'CN-PBI','PTN1900','Huawei','ID58','ID58','18','28','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','Huawei','ID2165_5','ID2165_5','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','Huawei','ID2165_6','ID2165_6','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_0','ID1705_0','19','37A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_0','ID1705_0','19','37B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_1','ID1705_1','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_2','ID1705_2','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_2','ID1705_2','19','40B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1706_0','ID1706_0','19','37A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1706_2','ID1706_2','19','38A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1706_3','ID1706_3','19','38A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','Huawei','ID2700_0','ID2700_0','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','Huawei','ID2700_1','ID2700_1','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','Huawei','ID2701','ID2701','19','34A ','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','Huawei','ID2791','ID2791','19','41A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','Huawei','ID2165_2','ID2165_2','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','Huawei','ID2165_3','ID2165_3','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','Huawei','ID2165_4','ID2165_4','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1705_3','ID1705_3','20','39B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1706_1','ID1706_1','20','37B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID1706_4','ID1706_4','20','38B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','Huawei','ID2032_0','ID2032_0','20','38B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','Huawei','ID2700_2','ID2700_2','20','40B','Suthas','0865159836','No Label','No Label'
